department_management.head	department_management.management	department_management.department
entertainment_awards.nomination	has	entertainment_awards.nomination.Festival_ID
entertainment_awards.nomination	has	entertainment_awards.nomination.Artwork_ID
entertainment_awards.nomination	has	entertainment_awards.nomination.Result
customer_deliveries	has	*
customer_deliveries	has	customer_deliveries.Products
customer_deliveries.Products	has	*
customer_deliveries	has	customer_deliveries.Addresses
customer_deliveries.Addresses	has	*
customer_deliveries	has	customer_deliveries.Customers
customer_deliveries.Customers	has	*
customer_deliveries	has	customer_deliveries.Regular_Orders
customer_deliveries.Regular_Orders	has	*
customer_deliveries	has	customer_deliveries.Actual_Orders
customer_deliveries.Actual_Orders	has	*
customer_deliveries	has	customer_deliveries.Delivery_Routes
customer_deliveries.Delivery_Routes	has	*
customer_deliveries	has	customer_deliveries.Delivery_Route_Locations
customer_deliveries.Delivery_Route_Locations	has	*
customer_deliveries	has	customer_deliveries.Trucks
customer_deliveries.Trucks	has	*
customer_deliveries	has	customer_deliveries.Employees
customer_deliveries.Employees	has	*
customer_deliveries	has	customer_deliveries.Order_Deliveries
customer_deliveries.Order_Deliveries	has	*
customer_deliveries	has	customer_deliveries.Regular_Order_Products
customer_deliveries.Regular_Order_Products	has	*
customer_deliveries	has	customer_deliveries.Actual_Order_Products
customer_deliveries.Actual_Order_Products	has	*
customer_deliveries	has	customer_deliveries.Customer_Addresses
customer_deliveries.Customer_Addresses	has	*
customer_deliveries	has	customer_deliveries.regular_orders_HAS_customer_deliveries
customer_deliveries.regular_orders_HAS_customer_deliveries	has	*
customer_deliveries	has	customer_deliveries.actual_orders_HAS_customer_deliveries
customer_deliveries.actual_orders_HAS_customer_deliveries	has	*
customer_deliveries	has	customer_deliveries.delivery_route_locations_HAS_customer_deliveries
customer_deliveries.delivery_route_locations_HAS_customer_deliveries	has	*
customer_deliveries	has	customer_deliveries.employees_HAS_customer_deliveries
customer_deliveries.employees_HAS_customer_deliveries	has	*
customer_deliveries	has	customer_deliveries.order_deliveries_HAS_customer_deliveries
customer_deliveries.order_deliveries_HAS_customer_deliveries	has	*
customer_deliveries.Products	has	customer_deliveries.Products.product_price
customer_deliveries.Products	has	customer_deliveries.Products.product_name
customer_deliveries.Products	has	customer_deliveries.Products.product_id
customer_deliveries.Products	has	customer_deliveries.Products.product_description
customer_deliveries.Addresses	has	customer_deliveries.Addresses.city
customer_deliveries.Addresses	has	customer_deliveries.Addresses.address_details
customer_deliveries.Addresses	has	customer_deliveries.Addresses.state_province_county
customer_deliveries.Addresses	has	customer_deliveries.Addresses.country
customer_deliveries.Addresses	has	customer_deliveries.Addresses.address_id
customer_deliveries.Addresses	has	customer_deliveries.Addresses.zip_postcode
customer_deliveries.Customers	has	customer_deliveries.Customers.customer_name
customer_deliveries.Customers	has	customer_deliveries.Customers.customer_phone
customer_deliveries.Customers	has	customer_deliveries.Customers.payment_method
customer_deliveries.Customers	has	customer_deliveries.Customers.date_became_customer
customer_deliveries.Customers	has	customer_deliveries.Customers.customer_id
customer_deliveries.Customers	has	customer_deliveries.Customers.customer_email
customer_deliveries.Regular_Orders	has	customer_deliveries.Regular_Orders.regular_order_id
customer_deliveries.Regular_Orders	has	customer_deliveries.Regular_Orders.distributer_id
customer_deliveries.Actual_Orders	has	customer_deliveries.Actual_Orders.actual_order_id
customer_deliveries.Actual_Orders	has	customer_deliveries.Actual_Orders.actual_order_date
customer_deliveries.Actual_Orders	has	customer_deliveries.Actual_Orders.regular_order_id
customer_deliveries.Actual_Orders	has	customer_deliveries.Actual_Orders.order_status_code
customer_deliveries.Delivery_Routes	has	customer_deliveries.Delivery_Routes.other_route_details
customer_deliveries.Delivery_Routes	has	customer_deliveries.Delivery_Routes.route_name
customer_deliveries.Delivery_Routes	has	customer_deliveries.Delivery_Routes.route_id
customer_deliveries.Delivery_Route_Locations	has	customer_deliveries.Delivery_Route_Locations.location_name
customer_deliveries.Delivery_Route_Locations	has	customer_deliveries.Delivery_Route_Locations.location_code
customer_deliveries.Delivery_Route_Locations	has	customer_deliveries.Delivery_Route_Locations.location_address_id
customer_deliveries.Delivery_Route_Locations	has	customer_deliveries.Delivery_Route_Locations.route_id
customer_deliveries.Trucks	has	customer_deliveries.Trucks.truck_id
customer_deliveries.Trucks	has	customer_deliveries.Trucks.truck_details
customer_deliveries.Trucks	has	customer_deliveries.Trucks.truck_licence_number
customer_deliveries.Employees	has	customer_deliveries.Employees.employee_name
customer_deliveries.Employees	has	customer_deliveries.Employees.employee_phone
customer_deliveries.Employees	has	customer_deliveries.Employees.employee_address_id
customer_deliveries.Employees	has	customer_deliveries.Employees.employee_id
customer_deliveries.Order_Deliveries	has	customer_deliveries.Order_Deliveries.delivery_date
customer_deliveries.Order_Deliveries	has	customer_deliveries.Order_Deliveries.truck_id
customer_deliveries.Order_Deliveries	has	customer_deliveries.Order_Deliveries.actual_order_id
customer_deliveries.Order_Deliveries	has	customer_deliveries.Order_Deliveries.driver_employee_id
customer_deliveries.Order_Deliveries	has	customer_deliveries.Order_Deliveries.location_code
customer_deliveries.Order_Deliveries	has	customer_deliveries.Order_Deliveries.delivery_status_code
customer_deliveries.Regular_Order_Products	has	customer_deliveries.Regular_Order_Products.regular_order_id
customer_deliveries.Regular_Order_Products	has	customer_deliveries.Regular_Order_Products.product_id
customer_deliveries.Actual_Order_Products	has	customer_deliveries.Actual_Order_Products.actual_order_id
customer_deliveries.Actual_Order_Products	has	customer_deliveries.Actual_Order_Products.product_id
customer_deliveries.Customer_Addresses	has	customer_deliveries.Customer_Addresses.date_to
customer_deliveries.Customer_Addresses	has	customer_deliveries.Customer_Addresses.address_id
customer_deliveries.Customer_Addresses	has	customer_deliveries.Customer_Addresses.date_from
customer_deliveries.Customer_Addresses	has	customer_deliveries.Customer_Addresses.customer_id
customer_deliveries.Customer_Addresses	has	customer_deliveries.Customer_Addresses.address_type
flight_2	has	*
flight_2	has	flight_2.airlines
flight_2.airlines	has	*
flight_2	has	flight_2.airports
flight_2.airports	has	*
flight_2	has	flight_2.flights
flight_2.flights	has	*
flight_2.airlines	has	flight_2.airlines.Country
flight_2.airlines	has	flight_2.airlines.Abbreviation
flight_2.airlines	has	flight_2.airlines.uid
flight_2.airlines	has	flight_2.airlines.Airline
flight_2.airports	has	flight_2.airports.Country
flight_2.airports	has	flight_2.airports.City
flight_2.airports	has	flight_2.airports.AirportName
flight_2.airports	has	flight_2.airports.AirportCode
flight_2.airports	has	flight_2.airports.CountryAbbrev
flight_2.flights	has	flight_2.flights.DestAirport
flight_2.flights	has	flight_2.flights.Airline
flight_2.flights	has	flight_2.flights.SourceAirport
flight_2.flights	has	flight_2.flights.FlightNo
csu_1	has	*
csu_1	has	csu_1.Campuses
csu_1.Campuses	has	*
csu_1	has	csu_1.csu_fees
csu_1.csu_fees	has	*
csu_1	has	csu_1.degrees
csu_1.degrees	has	*
csu_1	has	csu_1.discipline_enrollments
csu_1.discipline_enrollments	has	*
csu_1	has	csu_1.enrollments
csu_1.enrollments	has	*
csu_1	has	csu_1.faculty
csu_1.faculty	has	*
csu_1	has	csu_1.csu_fees_HAS_csu_1
csu_1.csu_fees_HAS_csu_1	has	*
csu_1	has	csu_1.degrees_HAS_csu_1
csu_1.degrees_HAS_csu_1	has	*
csu_1	has	csu_1.discipline_enrollments_HAS_csu_1
csu_1.discipline_enrollments_HAS_csu_1	has	*
csu_1	has	csu_1.enrollments_HAS_csu_1
csu_1.enrollments_HAS_csu_1	has	*
csu_1	has	csu_1.faculty_HAS_csu_1
csu_1.faculty_HAS_csu_1	has	*
csu_1.Campuses	has	csu_1.Campuses.County
csu_1.Campuses	has	csu_1.Campuses.Id
csu_1.Campuses	has	csu_1.Campuses.Year
csu_1.Campuses	has	csu_1.Campuses.Campus
csu_1.Campuses	has	csu_1.Campuses.Location
csu_1.csu_fees	has	csu_1.csu_fees.Year
csu_1.csu_fees	has	csu_1.csu_fees.Campus
csu_1.csu_fees	has	csu_1.csu_fees.CampusFee
csu_1.degrees	has	csu_1.degrees.Year
csu_1.degrees	has	csu_1.degrees.Campus
csu_1.degrees	has	csu_1.degrees.Degrees
csu_1.discipline_enrollments	has	csu_1.discipline_enrollments.Year
csu_1.discipline_enrollments	has	csu_1.discipline_enrollments.Discipline
csu_1.discipline_enrollments	has	csu_1.discipline_enrollments.Campus
csu_1.discipline_enrollments	has	csu_1.discipline_enrollments.Graduate
csu_1.discipline_enrollments	has	csu_1.discipline_enrollments.Undergraduate
csu_1.enrollments	has	csu_1.enrollments.Year
csu_1.enrollments	has	csu_1.enrollments.Campus
csu_1.enrollments	has	csu_1.enrollments.FTE_AY
csu_1.enrollments	has	csu_1.enrollments.TotalEnrollment_AY
csu_1.faculty	has	csu_1.faculty.Year
csu_1.faculty	has	csu_1.faculty.Campus
csu_1.faculty	has	csu_1.faculty.Faculty
voter_2	has	*
voter_2	has	voter_2.Student
voter_2.Student	has	*
voter_2	has	voter_2.Voting_record
voter_2.Voting_record	has	*
voter_2	has	voter_2.voting_record_HAS_voter_2
voter_2.voting_record_HAS_voter_2	has	*
voter_2.Student	has	voter_2.Student.Age
voter_2.Student	has	voter_2.Student.city_code
voter_2.Student	has	voter_2.Student.Advisor
voter_2.Student	has	voter_2.Student.Major
voter_2.Student	has	voter_2.Student.Sex
voter_2.Student	has	voter_2.Student.Fname
voter_2.Student	has	voter_2.Student.StuID
voter_2.Student	has	voter_2.Student.LName
voter_2.Voting_record	has	voter_2.Voting_record.Vice_President_Vote
voter_2.Voting_record	has	voter_2.Voting_record.Treasurer_Vote
voter_2.Voting_record	has	voter_2.Voting_record.Class_Senator_Vote
voter_2.Voting_record	has	voter_2.Voting_record.StuID
voter_2.Voting_record	has	voter_2.Voting_record.Secretary_Vote
voter_2.Voting_record	has	voter_2.Voting_record.Election_Cycle
voter_2.Voting_record	has	voter_2.Voting_record.Class_President_Vote
voter_2.Voting_record	has	voter_2.Voting_record.President_Vote
voter_2.Voting_record	has	voter_2.Voting_record.Registration_Date
flight_1	has	*
flight_1	has	flight_1.flight
flight_1.flight	has	*
flight_1	has	flight_1.aircraft
flight_1.aircraft	has	*
flight_1	has	flight_1.employee
flight_1.employee	has	*
flight_1	has	flight_1.certificate
flight_1.certificate	has	*
flight_1	has	flight_1.flight_HAS_flight_1
flight_1.flight_HAS_flight_1	has	*
flight_1.flight	has	flight_1.flight.origin
flight_1.flight	has	flight_1.flight.distance
flight_1.flight	has	flight_1.flight.aid
flight_1.flight	has	flight_1.flight.arrival_date
flight_1.flight	has	flight_1.flight.price
flight_1.flight	has	flight_1.flight.flno
flight_1.flight	has	flight_1.flight.departure_date
flight_1.flight	has	flight_1.flight.destination
flight_1.aircraft	has	flight_1.aircraft.name
flight_1.aircraft	has	flight_1.aircraft.distance
flight_1.aircraft	has	flight_1.aircraft.aid
flight_1.employee	has	flight_1.employee.name
flight_1.employee	has	flight_1.employee.salary
flight_1.employee	has	flight_1.employee.eid
flight_1.certificate	has	flight_1.certificate.aid
flight_1.certificate	has	flight_1.certificate.eid
battle_death	has	*
battle_death	has	battle_death.battle
battle_death.battle	has	*
battle_death	has	battle_death.ship
battle_death.ship	has	*
battle_death	has	battle_death.death
battle_death.death	has	*
battle_death	has	battle_death.ship_HAS_battle_death
battle_death.ship_HAS_battle_death	has	*
battle_death	has	battle_death.death_HAS_battle_death
battle_death.death_HAS_battle_death	has	*
battle_death.battle	has	battle_death.battle.name
battle_death.battle	has	battle_death.battle.id
battle_death.battle	has	battle_death.battle.bulgarian_commander
battle_death.battle	has	battle_death.battle.result
battle_death.battle	has	battle_death.battle.latin_commander
battle_death.battle	has	battle_death.battle.date
battle_death.ship	has	battle_death.ship.name
battle_death.ship	has	battle_death.ship.id
battle_death.ship	has	battle_death.ship.disposition_of_ship
battle_death.ship	has	battle_death.ship.ship_type
battle_death.ship	has	battle_death.ship.location
battle_death.ship	has	battle_death.ship.lost_in_battle
battle_death.ship	has	battle_death.ship.tonnage
battle_death.death	has	battle_death.death.id
battle_death.death	has	battle_death.death.caused_by_ship_id
battle_death.death	has	battle_death.death.injured
battle_death.death	has	battle_death.death.killed
battle_death.death	has	battle_death.death.note
match_season	has	*
match_season	has	match_season.country
match_season.country	has	*
match_season	has	match_season.team
match_season.team	has	*
match_season	has	match_season.match_season
match_season.match_season	has	*
match_season	has	match_season.player
match_season.player	has	*
match_season	has	match_season.match_season_HAS_match_season
match_season.match_season_HAS_match_season	has	*
match_season	has	match_season.player_HAS_match_season
match_season.player_HAS_match_season	has	*
match_season.country	has	match_season.country.Capital
match_season.country	has	match_season.country.Country_id
match_season.country	has	match_season.country.Country_name
match_season.country	has	match_season.country.Official_native_language
match_season.team	has	match_season.team.Name
match_season.team	has	match_season.team.Team_id
match_season.match_season	has	match_season.match_season.Country
match_season.match_season	has	match_season.match_season.College
match_season.match_season	has	match_season.match_season.Season
match_season.match_season	has	match_season.match_season.Draft_Class
match_season.match_season	has	match_season.match_season.Player
match_season.match_season	has	match_season.match_season.Team
match_season.match_season	has	match_season.match_season.Position
match_season.match_season	has	match_season.match_season.Draft_Pick_Number
match_season.player	has	match_season.player.Total_WL
match_season.player	has	match_season.player.Player_ID
match_season.player	has	match_season.player.Singles_WL
match_season.player	has	match_season.player.Years_Played
match_season.player	has	match_season.player.Player
match_season.player	has	match_season.player.Doubles_WL
match_season.player	has	match_season.player.Team
real_estate_properties	has	*
real_estate_properties	has	real_estate_properties.Ref_Feature_Types
real_estate_properties.Ref_Feature_Types	has	*
real_estate_properties	has	real_estate_properties.Ref_Property_Types
real_estate_properties.Ref_Property_Types	has	*
real_estate_properties	has	real_estate_properties.Other_Available_Features
real_estate_properties.Other_Available_Features	has	*
real_estate_properties	has	real_estate_properties.Properties
real_estate_properties.Properties	has	*
real_estate_properties	has	real_estate_properties.Other_Property_Features
real_estate_properties.Other_Property_Features	has	*
real_estate_properties	has	real_estate_properties.other_available_features_HAS_real_estate_properties
real_estate_properties.other_available_features_HAS_real_estate_properties	has	*
real_estate_properties	has	real_estate_properties.properties_HAS_real_estate_properties
real_estate_properties.properties_HAS_real_estate_properties	has	*
real_estate_properties.Ref_Feature_Types	has	real_estate_properties.Ref_Feature_Types.feature_type_name
real_estate_properties.Ref_Feature_Types	has	real_estate_properties.Ref_Feature_Types.feature_type_code
real_estate_properties.Ref_Property_Types	has	real_estate_properties.Ref_Property_Types.property_type_description
real_estate_properties.Ref_Property_Types	has	real_estate_properties.Ref_Property_Types.property_type_code
real_estate_properties.Other_Available_Features	has	real_estate_properties.Other_Available_Features.feature_name
real_estate_properties.Other_Available_Features	has	real_estate_properties.Other_Available_Features.feature_type_code
real_estate_properties.Other_Available_Features	has	real_estate_properties.Other_Available_Features.feature_id
real_estate_properties.Other_Available_Features	has	real_estate_properties.Other_Available_Features.feature_description
real_estate_properties.Properties	has	real_estate_properties.Properties.property_address
real_estate_properties.Properties	has	real_estate_properties.Properties.property_id
real_estate_properties.Properties	has	real_estate_properties.Properties.room_count
real_estate_properties.Properties	has	real_estate_properties.Properties.date_on_market
real_estate_properties.Properties	has	real_estate_properties.Properties.apt_feature_2
real_estate_properties.Properties	has	real_estate_properties.Properties.date_sold
real_estate_properties.Properties	has	real_estate_properties.Properties.property_type_code
real_estate_properties.Properties	has	real_estate_properties.Properties.buyer_offered_price
real_estate_properties.Properties	has	real_estate_properties.Properties.property_name
real_estate_properties.Properties	has	real_estate_properties.Properties.apt_feature_1
real_estate_properties.Properties	has	real_estate_properties.Properties.vendor_requested_price
real_estate_properties.Properties	has	real_estate_properties.Properties.agreed_selling_price
real_estate_properties.Other_Property_Features	has	real_estate_properties.Other_Property_Features.property_id
real_estate_properties.Other_Property_Features	has	real_estate_properties.Other_Property_Features.property_feature_description
real_estate_properties.Other_Property_Features	has	real_estate_properties.Other_Property_Features.feature_id
insurance_and_eClaims	has	*
insurance_and_eClaims	has	insurance_and_eClaims.Customers
insurance_and_eClaims.Customers	has	*
insurance_and_eClaims	has	insurance_and_eClaims.Staff
insurance_and_eClaims.Staff	has	*
insurance_and_eClaims	has	insurance_and_eClaims.Policies
insurance_and_eClaims.Policies	has	*
insurance_and_eClaims	has	insurance_and_eClaims.Claim_Headers
insurance_and_eClaims.Claim_Headers	has	*
insurance_and_eClaims	has	insurance_and_eClaims.Claims_Processing_Stages
insurance_and_eClaims.Claims_Processing_Stages	has	*
insurance_and_eClaims	has	insurance_and_eClaims.Claims_Processing
insurance_and_eClaims.Claims_Processing	has	*
insurance_and_eClaims	has	insurance_and_eClaims.Claims_Documents
insurance_and_eClaims.Claims_Documents	has	*
insurance_and_eClaims	has	insurance_and_eClaims.policies_HAS_insurance_and_eClaims
insurance_and_eClaims.policies_HAS_insurance_and_eClaims	has	*
insurance_and_eClaims	has	insurance_and_eClaims.claim_headers_HAS_insurance_and_eClaims
insurance_and_eClaims.claim_headers_HAS_insurance_and_eClaims	has	*
insurance_and_eClaims	has	insurance_and_eClaims.claims_processing_HAS_insurance_and_eClaims
insurance_and_eClaims.claims_processing_HAS_insurance_and_eClaims	has	*
insurance_and_eClaims.Customers	has	insurance_and_eClaims.Customers.Customer_Details
insurance_and_eClaims.Customers	has	insurance_and_eClaims.Customers.Customer_ID
insurance_and_eClaims.Staff	has	insurance_and_eClaims.Staff.Staff_ID
insurance_and_eClaims.Staff	has	insurance_and_eClaims.Staff.Staff_Details
insurance_and_eClaims.Policies	has	insurance_and_eClaims.Policies.Policy_Type_Code
insurance_and_eClaims.Policies	has	insurance_and_eClaims.Policies.Policy_ID
insurance_and_eClaims.Policies	has	insurance_and_eClaims.Policies.Customer_ID
insurance_and_eClaims.Policies	has	insurance_and_eClaims.Policies.Start_Date
insurance_and_eClaims.Policies	has	insurance_and_eClaims.Policies.End_Date
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Amount_Claimed
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Amount_Piad
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Date_of_Settlement
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Date_of_Claim
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Claim_Header_ID
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Policy_ID
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Claim_Status_Code
insurance_and_eClaims.Claim_Headers	has	insurance_and_eClaims.Claim_Headers.Claim_Type_Code
insurance_and_eClaims.Claims_Processing_Stages	has	insurance_and_eClaims.Claims_Processing_Stages.Next_Claim_Stage_ID
insurance_and_eClaims.Claims_Processing_Stages	has	insurance_and_eClaims.Claims_Processing_Stages.Claim_Stage_ID
insurance_and_eClaims.Claims_Processing_Stages	has	insurance_and_eClaims.Claims_Processing_Stages.Claim_Status_Description
insurance_and_eClaims.Claims_Processing_Stages	has	insurance_and_eClaims.Claims_Processing_Stages.Claim_Status_Name
insurance_and_eClaims.Claims_Processing	has	insurance_and_eClaims.Claims_Processing.Staff_ID
insurance_and_eClaims.Claims_Processing	has	insurance_and_eClaims.Claims_Processing.Claim_Stage_ID
insurance_and_eClaims.Claims_Processing	has	insurance_and_eClaims.Claims_Processing.Claim_Outcome_Code
insurance_and_eClaims.Claims_Processing	has	insurance_and_eClaims.Claims_Processing.Claim_ID
insurance_and_eClaims.Claims_Processing	has	insurance_and_eClaims.Claims_Processing.Claim_Processing_ID
insurance_and_eClaims.Claims_Documents	has	insurance_and_eClaims.Claims_Documents.Document_Type_Code
insurance_and_eClaims.Claims_Documents	has	insurance_and_eClaims.Claims_Documents.Created_Date
insurance_and_eClaims.Claims_Documents	has	insurance_and_eClaims.Claims_Documents.Created_by_Staff_ID
insurance_and_eClaims.Claims_Documents	has	insurance_and_eClaims.Claims_Documents.Claim_ID
music_2	has	*
music_2	has	music_2.Songs
music_2.Songs	has	*
music_2	has	music_2.Albums
music_2.Albums	has	*
music_2	has	music_2.Band
music_2.Band	has	*
music_2.Songs	has	music_2.Songs.Title
music_2.Songs	has	music_2.Songs.SongId
music_2.Albums	has	music_2.Albums.Type
music_2.Albums	has	music_2.Albums.Year
music_2.Albums	has	music_2.Albums.Title
music_2.Albums	has	music_2.Albums.Label
music_2.Albums	has	music_2.Albums.AId
music_2.Band	has	music_2.Band.Id
music_2.Band	has	music_2.Band.Lastname
music_2.Band	has	music_2.Band.Firstname
yelp	has	*
yelp	has	yelp.business
yelp.business	has	*
yelp	has	yelp.category
yelp.category	has	*
yelp	has	yelp.user
yelp.user	has	*
yelp	has	yelp.checkin
yelp.checkin	has	*
yelp	has	yelp.neighbourhood
yelp.neighbourhood	has	*
yelp	has	yelp.review
yelp.review	has	*
yelp	has	yelp.tip
yelp.tip	has	*
yelp.business	has	yelp.business.name
yelp.business	has	yelp.business.latitude
yelp.business	has	yelp.business.is_open
yelp.business	has	yelp.business.city
yelp.business	has	yelp.business.state
yelp.business	has	yelp.business.longitude
yelp.business	has	yelp.business.bid
yelp.business	has	yelp.business.review_count
yelp.business	has	yelp.business.full_address
yelp.business	has	yelp.business.rating
yelp.business	has	yelp.business.business_id
yelp.category	has	yelp.category.id
yelp.category	has	yelp.category.category_name
yelp.category	has	yelp.category.business_id
yelp.user	has	yelp.user.name
yelp.user	has	yelp.user.uid
yelp.user	has	yelp.user.user_id
yelp.checkin	has	yelp.checkin.count
yelp.checkin	has	yelp.checkin.cid
yelp.checkin	has	yelp.checkin.business_id
yelp.checkin	has	yelp.checkin.day
yelp.neighbourhood	has	yelp.neighbourhood.id
yelp.neighbourhood	has	yelp.neighbourhood.neighbourhood_name
yelp.neighbourhood	has	yelp.neighbourhood.business_id
yelp.review	has	yelp.review.rid
yelp.review	has	yelp.review.text
yelp.review	has	yelp.review.month
yelp.review	has	yelp.review.year
yelp.review	has	yelp.review.rating
yelp.review	has	yelp.review.business_id
yelp.review	has	yelp.review.user_id
yelp.tip	has	yelp.tip.tip_id
yelp.tip	has	yelp.tip.text
yelp.tip	has	yelp.tip.likes
yelp.tip	has	yelp.tip.month
yelp.tip	has	yelp.tip.year
yelp.tip	has	yelp.tip.business_id
yelp.tip	has	yelp.tip.user_id
manufacturer	has	*
manufacturer	has	manufacturer.manufacturer
manufacturer.manufacturer	has	*
manufacturer	has	manufacturer.furniture
manufacturer.furniture	has	*
manufacturer	has	manufacturer.furniture_manufacte
manufacturer.furniture_manufacte	has	*
manufacturer.manufacturer	has	manufacturer.manufacturer.Name
manufacturer.manufacturer	has	manufacturer.manufacturer.Manufacturer_ID
manufacturer.manufacturer	has	manufacturer.manufacturer.Open_Year
manufacturer.manufacturer	has	manufacturer.manufacturer.Num_of_Shops
manufacturer.manufacturer	has	manufacturer.manufacturer.Num_of_Factories
manufacturer.furniture	has	manufacturer.furniture.Name
manufacturer.furniture	has	manufacturer.furniture.Furniture_ID
manufacturer.furniture	has	manufacturer.furniture.Market_Rate
manufacturer.furniture	has	manufacturer.furniture.Num_of_Component
manufacturer.furniture_manufacte	has	manufacturer.furniture_manufacte.Price_in_Dollar
manufacturer.furniture_manufacte	has	manufacturer.furniture_manufacte.Manufacturer_ID
manufacturer.furniture_manufacte	has	manufacturer.furniture_manufacte.Furniture_ID
assets_maintenance	has	*
assets_maintenance	has	assets_maintenance.Third_Party_Companies
assets_maintenance.Third_Party_Companies	has	*
assets_maintenance	has	assets_maintenance.Maintenance_Contracts
assets_maintenance.Maintenance_Contracts	has	*
assets_maintenance	has	assets_maintenance.Parts
assets_maintenance.Parts	has	*
assets_maintenance	has	assets_maintenance.Skills
assets_maintenance.Skills	has	*
assets_maintenance	has	assets_maintenance.Staff
assets_maintenance.Staff	has	*
assets_maintenance	has	assets_maintenance.Assets
assets_maintenance.Assets	has	*
assets_maintenance	has	assets_maintenance.Maintenance_Engineers
assets_maintenance.Maintenance_Engineers	has	*
assets_maintenance	has	assets_maintenance.Fault_Log
assets_maintenance.Fault_Log	has	*
assets_maintenance	has	assets_maintenance.Engineer_Visits
assets_maintenance.Engineer_Visits	has	*
assets_maintenance	has	assets_maintenance.Part_Faults
assets_maintenance.Part_Faults	has	*
assets_maintenance	has	assets_maintenance.Asset_Parts
assets_maintenance.Asset_Parts	has	*
assets_maintenance	has	assets_maintenance.Engineer_Skills
assets_maintenance.Engineer_Skills	has	*
assets_maintenance	has	assets_maintenance.Fault_Log_Parts
assets_maintenance.Fault_Log_Parts	has	*
assets_maintenance	has	assets_maintenance.Skills_Required_To_Fix
assets_maintenance.Skills_Required_To_Fix	has	*
assets_maintenance	has	assets_maintenance.maintenance_contracts_HAS_assets_maintenance
assets_maintenance.maintenance_contracts_HAS_assets_maintenance	has	*
assets_maintenance	has	assets_maintenance.assets_HAS_assets_maintenance
assets_maintenance.assets_HAS_assets_maintenance	has	*
assets_maintenance	has	assets_maintenance.maintenance_engineers_HAS_assets_maintenance
assets_maintenance.maintenance_engineers_HAS_assets_maintenance	has	*
assets_maintenance	has	assets_maintenance.fault_log_HAS_assets_maintenance
assets_maintenance.fault_log_HAS_assets_maintenance	has	*
assets_maintenance	has	assets_maintenance.engineer_visits_HAS_assets_maintenance
assets_maintenance.engineer_visits_HAS_assets_maintenance	has	*
assets_maintenance	has	assets_maintenance.part_faults_HAS_assets_maintenance
assets_maintenance.part_faults_HAS_assets_maintenance	has	*
assets_maintenance.Third_Party_Companies	has	assets_maintenance.Third_Party_Companies.company_id
assets_maintenance.Third_Party_Companies	has	assets_maintenance.Third_Party_Companies.company_name
assets_maintenance.Third_Party_Companies	has	assets_maintenance.Third_Party_Companies.company_address
assets_maintenance.Third_Party_Companies	has	assets_maintenance.Third_Party_Companies.company_type
assets_maintenance.Third_Party_Companies	has	assets_maintenance.Third_Party_Companies.other_company_details
assets_maintenance.Maintenance_Contracts	has	assets_maintenance.Maintenance_Contracts.maintenance_contract_company_id
assets_maintenance.Maintenance_Contracts	has	assets_maintenance.Maintenance_Contracts.contract_end_date
assets_maintenance.Maintenance_Contracts	has	assets_maintenance.Maintenance_Contracts.contract_start_date
assets_maintenance.Maintenance_Contracts	has	assets_maintenance.Maintenance_Contracts.maintenance_contract_id
assets_maintenance.Parts	has	assets_maintenance.Parts.chargeable_amount
assets_maintenance.Parts	has	assets_maintenance.Parts.part_id
assets_maintenance.Parts	has	assets_maintenance.Parts.chargeable_yn
assets_maintenance.Parts	has	assets_maintenance.Parts.part_name
assets_maintenance.Skills	has	assets_maintenance.Skills.skill_code
assets_maintenance.Skills	has	assets_maintenance.Skills.skill_id
assets_maintenance.Skills	has	assets_maintenance.Skills.skill_description
assets_maintenance.Staff	has	assets_maintenance.Staff.staff_id
assets_maintenance.Staff	has	assets_maintenance.Staff.other_staff_details
assets_maintenance.Staff	has	assets_maintenance.Staff.staff_name
assets_maintenance.Staff	has	assets_maintenance.Staff.gender
assets_maintenance.Assets	has	assets_maintenance.Assets.asset_id
assets_maintenance.Assets	has	assets_maintenance.Assets.asset_details
assets_maintenance.Assets	has	assets_maintenance.Assets.asset_acquired_date
assets_maintenance.Assets	has	assets_maintenance.Assets.other_asset_details
assets_maintenance.Assets	has	assets_maintenance.Assets.asset_model
assets_maintenance.Assets	has	assets_maintenance.Assets.maintenance_contract_id
assets_maintenance.Assets	has	assets_maintenance.Assets.supplier_company_id
assets_maintenance.Assets	has	assets_maintenance.Assets.asset_disposed_date
assets_maintenance.Assets	has	assets_maintenance.Assets.asset_make
assets_maintenance.Maintenance_Engineers	has	assets_maintenance.Maintenance_Engineers.company_id
assets_maintenance.Maintenance_Engineers	has	assets_maintenance.Maintenance_Engineers.engineer_id
assets_maintenance.Maintenance_Engineers	has	assets_maintenance.Maintenance_Engineers.other_details
assets_maintenance.Maintenance_Engineers	has	assets_maintenance.Maintenance_Engineers.last_name
